"Translaton between Mod1 Outputs and PV names generates read1400coils.substitutions",,,,,,
"IOC Offset",".DESC field","IOC PV Name","Meaning of 1 State","Meaning of 0 State","Modicon Output #",Alias
518,"xx","CoilBlank0519","One","Zero",519,"MOD1:Coil0519:Read"
519,"Push-Pull Pulse Timer Output","RF:PushPull:PulseTimer:Output","One","Zero",520,"MOD1:Coil0520:Read"
520,"xx","CoilBlank0521","One","Zero",521,"MOD1:Coil0521:Read"
521,"xx","CoilBlank0522","One","Zero",522,"MOD1:Coil0522:Read"
522,"xx","CoilBlank0523","One","Zero",523,"MOD1:Coil0523:Read"
523,"X0/X1/Y1 Reset Pulse Timer Output","SM01:ResetPulseTimer:Output","One","Zero",524,"MOD1:Coil0524:Read"
524,"X0/X1/Y1 Start Timer Output","SM01:StartTimer:Output","One","Zero",525,"MOD1:Coil0525:Read"
525,"xx","CoilBlank0526","One","Zero",526,"MOD1:Coil0526:Read"
526,"xx","CoilBlank0527","One","Zero",527,"MOD1:Coil0527:Read"
527,"xx","CoilBlank0528","One","Zero",528,"MOD1:Coil0528:Read"
528,"xx","CoilBlank0529","One","Zero",529,"MOD1:Coil0529:Read"
529,"xx","CoilBlank0530","One","Zero",530,"MOD1:Coil0530:Read"
530,"xx","CoilBlank0531","One","Zero",531,"MOD1:Coil0531:Read"
531,"xx","CoilBlank0532","One","Zero",532,"MOD1:Coil0532:Read"
532,"xx","CoilBlank0533","One","Zero",533,"MOD1:Coil0533:Read"
533,"xx","CoilBlank0534","One","Zero",534,"MOD1:Coil0534:Read"
534,"xx","CoilBlank0535","One","Zero",535,"MOD1:Coil0535:Read"
535,"xx","CoilBlank0536","One","Zero",536,"MOD1:Coil0536:Read"
536,"xx","CoilBlank0537","One","Zero",537,"MOD1:Coil0537:Read"
537,"xx","CoilBlank0538","One","Zero",538,"MOD1:Coil0538:Read"
538,"xx","CoilBlank0539","One","Zero",539,"MOD1:Coil0539:Read"
539,"xx","CoilBlank0540","One","Zero",540,"MOD1:Coil0540:Read"
540,"xx","CoilBlank0541","One","Zero",541,"MOD1:Coil0541:Read"
541,"xx","CoilBlank0542","One","Zero",542,"MOD1:Coil0542:Read"
542,"xx","CoilBlank0543","One","Zero",543,"MOD1:Coil0543:Read"
543,"xx","CoilBlank0544","One","Zero",544,"MOD1:Coil0544:Read"
544,"xx","CoilBlank0545","One","Zero",545,"MOD1:Coil0545:Read"
545,"xx","CoilBlank0546","One","Zero",546,"MOD1:Coil0546:Read"
546,"xx","CoilBlank0547","One","Zero",547,"MOD1:Coil0547:Read"
547,"xx","CoilBlank0548","One","Zero",548,"MOD1:Coil0548:Read"
548,"xx","CoilBlank0549","One","Zero",549,"MOD1:Coil0549:Read"
549,"xx","CoilBlank0550","One","Zero",550,"MOD1:Coil0550:Read"
550,"xx","CoilBlank0551","One","Zero",551,"MOD1:Coil0551:Read"
551,"xx","CoilBlank0552","One","Zero",552,"MOD1:Coil0552:Read"
552,"xx","CoilBlank0553","One","Zero",553,"MOD1:Coil0553:Read"
553,"xx","CoilBlank0554","One","Zero",554,"MOD1:Coil0554:Read"
554,"xx","CoilBlank0555","One","Zero",555,"MOD1:Coil0555:Read"
555,"xx","CoilBlank0556","One","Zero",556,"MOD1:Coil0556:Read"
556,"xx","CoilBlank0557","One","Zero",557,"MOD1:Coil0557:Read"
557,"xx","CoilBlank0558","One","Zero",558,"MOD1:Coil0558:Read"
558,"xx","CoilBlank0559","One","Zero",559,"MOD1:Coil0559:Read"
559,"xx","CoilBlank0560","One","Zero",560,"MOD1:Coil0560:Read"
560,"xx","CoilBlank0561","One","Zero",561,"MOD1:Coil0561:Read"
561,"xx","CoilBlank0562","One","Zero",562,"MOD1:Coil0562:Read"
562,"xx","CoilBlank0563","One","Zero",563,"MOD1:Coil0563:Read"
563,"xx","CoilBlank0564","One","Zero",564,"MOD1:Coil0564:Read"
564,"xx","CoilBlank0565","One","Zero",565,"MOD1:Coil0565:Read"
565,"xx","CoilBlank0566","One","Zero",566,"MOD1:Coil0566:Read"
566,"xx","CoilBlank0567","One","Zero",567,"MOD1:Coil0567:Read"
567,"xx","CoilBlank0568","One","Zero",568,"MOD1:Coil0568:Read"
568,"xx","CoilBlank0569","One","Zero",569,"MOD1:Coil0569:Read"
569,"xx","CoilBlank0570","One","Zero",570,"MOD1:Coil0570:Read"
570,"xx","CoilBlank0571","One","Zero",571,"MOD1:Coil0571:Read"
571,"xx","CoilBlank0572","One","Zero",572,"MOD1:Coil0572:Read"
572,"xx","CoilBlank0573","One","Zero",573,"MOD1:Coil0573:Read"
573,"xx","CoilBlank0574","One","Zero",574,"MOD1:Coil0574:Read"
574,"xx","CoilBlank0575","One","Zero",575,"MOD1:Coil0575:Read"
575,"xx","CoilBlank0576","One","Zero",576,"MOD1:Coil0576:Read"
576,"xx","CoilBlank0577","One","Zero",577,"MOD1:Coil0577:Read"
577,"xx","CoilBlank0578","One","Zero",578,"MOD1:Coil0578:Read"
578,"xx","CoilBlank0579","One","Zero",579,"MOD1:Coil0579:Read"
579,"xx","CoilBlank0580","One","Zero",580,"MOD1:Coil0580:Read"
580,"xx","CoilBlank0581","One","Zero",581,"MOD1:Coil0581:Read"
581,"xx","CoilBlank0582","One","Zero",582,"MOD1:Coil0582:Read"
582,"xx","CoilBlank0583","One","Zero",583,"MOD1:Coil0583:Read"
583,"xx","CoilBlank0584","One","Zero",584,"MOD1:Coil0584:Read"
584,"xx","CoilBlank0585","One","Zero",585,"MOD1:Coil0585:Read"
585,"xx","CoilBlank0586","One","Zero",586,"MOD1:Coil0586:Read"
586,"xx","CoilBlank0587","One","Zero",587,"MOD1:Coil0587:Read"
587,"xx","CoilBlank0588","One","Zero",588,"MOD1:Coil0588:Read"
588,"xx","CoilBlank0589","One","Zero",589,"MOD1:Coil0589:Read"
589,"xx","CoilBlank0590","One","Zero",590,"MOD1:Coil0590:Read"
590,"xx","CoilBlank0591","One","Zero",591,"MOD1:Coil0591:Read"
591,"xx","CoilBlank0592","One","Zero",592,"MOD1:Coil0592:Read"
592,"xx","CoilBlank0593","One","Zero",593,"MOD1:Coil0593:Read"
593,"xx","CoilBlank0594","One","Zero",594,"MOD1:Coil0594:Read"
594,"xx","CoilBlank0595","One","Zero",595,"MOD1:Coil0595:Read"
595,"xx","CoilBlank0596","One","Zero",596,"MOD1:Coil0596:Read"
596,"xx","CoilBlank0597","One","Zero",597,"MOD1:Coil0597:Read"
597,"xx","CoilBlank0598","One","Zero",598,"MOD1:Coil0598:Read"
598,"xx","CoilBlank0599","One","Zero",599,"MOD1:Coil0599:Read"
599,"xx","CoilBlank0600","One","Zero",600,"MOD1:Coil0600:Read"
600,"xx","CoilBlank0601","One","Zero",601,"MOD1:Coil0601:Read"
601,"xx","CoilBlank0602","One","Zero",602,"MOD1:Coil0602:Read"
602,"xx","CoilBlank0603","One","Zero",603,"MOD1:Coil0603:Read"
603,"xx","CoilBlank0604","One","Zero",604,"MOD1:Coil0604:Read"
604,"xx","CoilBlank0605","One","Zero",605,"MOD1:Coil0605:Read"
605,"xx","CoilBlank0606","One","Zero",606,"MOD1:Coil0606:Read"
606,"xx","CoilBlank0607","One","Zero",607,"MOD1:Coil0607:Read"
607,"xx","CoilBlank0608","One","Zero",608,"MOD1:Coil0608:Read"
608,"xx","CoilBlank0609","One","Zero",609,"MOD1:Coil0609:Read"
609,"xx","CoilBlank0610","One","Zero",610,"MOD1:Coil0610:Read"
610,"xx","CoilBlank0611","One","Zero",611,"MOD1:Coil0611:Read"
611,"xx","CoilBlank0612","One","Zero",612,"MOD1:Coil0612:Read"
612,"xx","CoilBlank0613","One","Zero",613,"MOD1:Coil0613:Read"
613,"xx","CoilBlank0614","One","Zero",614,"MOD1:Coil0614:Read"
614,"xx","CoilBlank0615","One","Zero",615,"MOD1:Coil0615:Read"
615,"xx","CoilBlank0616","One","Zero",616,"MOD1:Coil0616:Read"
616,"xx","CoilBlank0617","One","Zero",617,"MOD1:Coil0617:Read"
617,"xx","CoilBlank0618","One","Zero",618,"MOD1:Coil0618:Read"
618,"xx","CoilBlank0619","One","Zero",619,"MOD1:Coil0619:Read"
619,"xx","CoilBlank0620","One","Zero",620,"MOD1:Coil0620:Read"
620,"xx","CoilBlank0621","One","Zero",621,"MOD1:Coil0621:Read"
621,"xx","CoilBlank0622","One","Zero",622,"MOD1:Coil0622:Read"
622,"xx","CoilBlank0623","One","Zero",623,"MOD1:Coil0623:Read"
623,"xx","CoilBlank0624","One","Zero",624,"MOD1:Coil0624:Read"
624,"xx","CoilBlank0625","One","Zero",625,"MOD1:Coil0625:Read"
625,"xx","CoilBlank0626","One","Zero",626,"MOD1:Coil0626:Read"
626,"xx","CoilBlank0627","One","Zero",627,"MOD1:Coil0627:Read"
627,"xx","CoilBlank0628","One","Zero",628,"MOD1:Coil0628:Read"
628,"xx","CoilBlank0629","One","Zero",629,"MOD1:Coil0629:Read"
629,"xx","CoilBlank0630","One","Zero",630,"MOD1:Coil0630:Read"
630,"xx","CoilBlank0631","One","Zero",631,"MOD1:Coil0631:Read"
631,"xx","CoilBlank0632","One","Zero",632,"MOD1:Coil0632:Read"
632,"xx","CoilBlank0633","One","Zero",633,"MOD1:Coil0633:Read"
633,"xx","CoilBlank0634","One","Zero",634,"MOD1:Coil0634:Read"
634,"xx","CoilBlank0635","One","Zero",635,"MOD1:Coil0635:Read"
635,"xx","CoilBlank0636","One","Zero",636,"MOD1:Coil0636:Read"
636,"xx","CoilBlank0637","One","Zero",637,"MOD1:Coil0637:Read"
637,"xx","CoilBlank0638","One","Zero",638,"MOD1:Coil0638:Read"
638,"xx","CoilBlank0639","One","Zero",639,"MOD1:Coil0639:Read"
639,"xx","CoilBlank0640","One","Zero",640,"MOD1:Coil0640:Read"
640,"xx","CoilBlank0641","One","Zero",641,"MOD1:Coil0641:Read"
641,"xx","CoilBlank0642","One","Zero",642,"MOD1:Coil0642:Read"
642,"xx","CoilBlank0643","One","Zero",643,"MOD1:Coil0643:Read"
643,"xx","CoilBlank0644","One","Zero",644,"MOD1:Coil0644:Read"
644,"xx","CoilBlank0645","One","Zero",645,"MOD1:Coil0645:Read"
645,"xx","CoilBlank0646","One","Zero",646,"MOD1:Coil0646:Read"
646,"xx","CoilBlank0647","One","Zero",647,"MOD1:Coil0647:Read"
647,"xx","CoilBlank0648","One","Zero",648,"MOD1:Coil0648:Read"
648,"xx","CoilBlank0649","One","Zero",649,"MOD1:Coil0649:Read"
649,"xx","CoilBlank0650","One","Zero",650,"MOD1:Coil0650:Read"
650,"xx","CoilBlank0651","One","Zero",651,"MOD1:Coil0651:Read"
651,"xx","CoilBlank0652","One","Zero",652,"MOD1:Coil0652:Read"
652,"xx","CoilBlank0653","One","Zero",653,"MOD1:Coil0653:Read"
653,"xx","CoilBlank0654","One","Zero",654,"MOD1:Coil0654:Read"
654,"xx","CoilBlank0655","One","Zero",655,"MOD1:Coil0655:Read"
655,"xx","CoilBlank0656","One","Zero",656,"MOD1:Coil0656:Read"
656,"xx","CoilBlank0657","One","Zero",657,"MOD1:Coil0657:Read"
657,"xx","CoilBlank0658","One","Zero",658,"MOD1:Coil0658:Read"
658,"xx","CoilBlank0659","One","Zero",659,"MOD1:Coil0659:Read"
659,"xx","CoilBlank0660","One","Zero",660,"MOD1:Coil0660:Read"
660,"xx","CoilBlank0661","One","Zero",661,"MOD1:Coil0661:Read"
661,"xx","CoilBlank0662","One","Zero",662,"MOD1:Coil0662:Read"
662,"xx","CoilBlank0663","One","Zero",663,"MOD1:Coil0663:Read"
663,"xx","CoilBlank0664","One","Zero",664,"MOD1:Coil0664:Read"
664,"xx","CoilBlank0665","One","Zero",665,"MOD1:Coil0665:Read"
665,"xx","CoilBlank0666","One","Zero",666,"MOD1:Coil0666:Read"
666,"xx","CoilBlank0667","One","Zero",667,"MOD1:Coil0667:Read"
667,"xx","CoilBlank0668","One","Zero",668,"MOD1:Coil0668:Read"
668,"xx","CoilBlank0669","One","Zero",669,"MOD1:Coil0669:Read"
669,"xx","CoilBlank0670","One","Zero",670,"MOD1:Coil0670:Read"
670,"xx","CoilBlank0671","One","Zero",671,"MOD1:Coil0671:Read"
671,"xx","CoilBlank0672","One","Zero",672,"MOD1:Coil0672:Read"
672,"xx","CoilBlank0673","One","Zero",673,"MOD1:Coil0673:Read"
673,"xx","CoilBlank0674","One","Zero",674,"MOD1:Coil0674:Read"
674,"xx","CoilBlank0675","One","Zero",675,"MOD1:Coil0675:Read"
675,"xx","CoilBlank0676","One","Zero",676,"MOD1:Coil0676:Read"
676,"xx","CoilBlank0677","One","Zero",677,"MOD1:Coil0677:Read"
677,"xx","CoilBlank0678","One","Zero",678,"MOD1:Coil0678:Read"
678,"xx","CoilBlank0679","One","Zero",679,"MOD1:Coil0679:Read"
679,"xx","CoilBlank0680","One","Zero",680,"MOD1:Coil0680:Read"
680,"xx","CoilBlank0681","One","Zero",681,"MOD1:Coil0681:Read"
681,"xx","CoilBlank0682","One","Zero",682,"MOD1:Coil0682:Read"
682,"xx","CoilBlank0683","One","Zero",683,"MOD1:Coil0683:Read"
683,"xx","CoilBlank0684","One","Zero",684,"MOD1:Coil0684:Read"
684,"xx","CoilBlank0685","One","Zero",685,"MOD1:Coil0685:Read"
685,"xx","CoilBlank0686","One","Zero",686,"MOD1:Coil0686:Read"
686,"xx","CoilBlank0687","One","Zero",687,"MOD1:Coil0687:Read"
687,"xx","CoilBlank0688","One","Zero",688,"MOD1:Coil0688:Read"
688,"xx","CoilBlank0689","One","Zero",689,"MOD1:Coil0689:Read"
689,"xx","CoilBlank0690","One","Zero",690,"MOD1:Coil0690:Read"
690,"xx","CoilBlank0691","One","Zero",691,"MOD1:Coil0691:Read"
691,"xx","CoilBlank0692","One","Zero",692,"MOD1:Coil0692:Read"
692,"xx","CoilBlank0693","One","Zero",693,"MOD1:Coil0693:Read"
693,"xx","CoilBlank0694","One","Zero",694,"MOD1:Coil0694:Read"
694,"xx","CoilBlank0695","One","Zero",695,"MOD1:Coil0695:Read"
695,"xx","CoilBlank0696","One","Zero",696,"MOD1:Coil0696:Read"
696,"xx","CoilBlank0697","One","Zero",697,"MOD1:Coil0697:Read"
697,"xx","CoilBlank0698","One","Zero",698,"MOD1:Coil0698:Read"
698,"xx","CoilBlank0699","One","Zero",699,"MOD1:Coil0699:Read"
699,"Yoke Lift Interlock OK","CYC:YokeLiftInterlockOK:Status","OK","Not OK",700,"MOD1:Coil0700:Read"
700,"xx","CoilBlank0701","One","Zero",701,"MOD1:Coil0701:Read"
701,"Operator Alert Beeper","CYC:OperatorAlertBeeper","One","Zero",702,"MOD1:Coil0702:Read"
702,"xx","CoilBlank0703","One","Zero",703,"MOD1:Coil0703:Read"
703,"xx","CoilBlank0704","One","Zero",704,"MOD1:Coil0704:Read"
704,"xx","CoilBlank0705","One","Zero",705,"MOD1:Coil0705:Read"
705,"xx","CoilBlank0706","One","Zero",706,"MOD1:Coil0706:Read"
706,"xx","CoilBlank0707","One","Zero",707,"MOD1:Coil0707:Read"
707,"xx","CoilBlank0708","One","Zero",708,"MOD1:Coil0708:Read"
708,"xx","CoilBlank0709","One","Zero",709,"MOD1:Coil0709:Read"
709,"xx","CoilBlank0710","One","Zero",710,"MOD1:Coil0710:Read"
710,"xx","CoilBlank0711","One","Zero",711,"MOD1:Coil0711:Read"
711,"xx","CoilBlank0712","One","Zero",712,"MOD1:Coil0712:Read"
712,"xx","CoilBlank0713","One","Zero",713,"MOD1:Coil0713:Read"
713,"xx","CoilBlank0714","One","Zero",714,"MOD1:Coil0714:Read"
714,"xx","CoilBlank0715","One","Zero",715,"MOD1:Coil0715:Read"
715,"xx","CoilBlank0716","One","Zero",716,"MOD1:Coil0716:Read"
716,"xx","CoilBlank0717","One","Zero",717,"MOD1:Coil0717:Read"
717,"xx","CoilBlank0718","One","Zero",718,"MOD1:Coil0718:Read"
718,"xx","CoilBlank0719","One","Zero",719,"MOD1:Coil0719:Read"
719,"xx","CoilBlank0720","One","Zero",720,"MOD1:Coil0720:Read"
720,"xx","CoilBlank0721","One","Zero",721,"MOD1:Coil0721:Read"
721,"xx","CoilBlank0722","One","Zero",722,"MOD1:Coil0722:Read"
722,"xx","CoilBlank0723","One","Zero",723,"MOD1:Coil0723:Read"
723,"xx","CoilBlank0724","One","Zero",724,"MOD1:Coil0724:Read"
724,"xx","CoilBlank0725","One","Zero",725,"MOD1:Coil0725:Read"
725,"xx","CoilBlank0726","One","Zero",726,"MOD1:Coil0726:Read"
726,"xx","CoilBlank0727","One","Zero",727,"MOD1:Coil0727:Read"
727,"xx","CoilBlank0728","One","Zero",728,"MOD1:Coil0728:Read"
728,"xx","CoilBlank0729","One","Zero",729,"MOD1:Coil0729:Read"
729,"xx","CoilBlank0730","One","Zero",730,"MOD1:Coil0730:Read"
730,"xx","CoilBlank0731","One","Zero",731,"MOD1:Coil0731:Read"
731,"xx","CoilBlank0732","One","Zero",732,"MOD1:Coil0732:Read"
732,"xx","CoilBlank0733","One","Zero",733,"MOD1:Coil0733:Read"
733,"xx","CoilBlank0734","One","Zero",734,"MOD1:Coil0734:Read"
734,"xx","CoilBlank0735","One","Zero",735,"MOD1:Coil0735:Read"
735,"xx","CoilBlank0736","One","Zero",736,"MOD1:Coil0736:Read"
736,"xx","CoilBlank0737","One","Zero",737,"MOD1:Coil0737:Read"
737,"xx","CoilBlank0738","One","Zero",738,"MOD1:Coil0738:Read"
738,"xx","CoilBlank0739","One","Zero",739,"MOD1:Coil0739:Read"
739,"xx","CoilBlank0740","One","Zero",740,"MOD1:Coil0740:Read"
740,"xx","CoilBlank0741","One","Zero",741,"MOD1:Coil0741:Read"
741,"xx","CoilBlank0742","One","Zero",742,"MOD1:Coil0742:Read"
742,"xx","CoilBlank0743","One","Zero",743,"MOD1:Coil0743:Read"
743,"xx","CoilBlank0744","One","Zero",744,"MOD1:Coil0744:Read"
744,"xx","CoilBlank0745","One","Zero",745,"MOD1:Coil0745:Read"
745,"xx","CoilBlank0746","One","Zero",746,"MOD1:Coil0746:Read"
746,"xx","CoilBlank0747","One","Zero",747,"MOD1:Coil0747:Read"
747,"xx","CoilBlank0748","One","Zero",748,"MOD1:Coil0748:Read"
748,"xx","CoilBlank0749","One","Zero",749,"MOD1:Coil0749:Read"
749,"xx","CoilBlank0750","One","Zero",750,"MOD1:Coil0750:Read"
750,"xx","CoilBlank0751","One","Zero",751,"MOD1:Coil0751:Read"
751,"xx","CoilBlank0752","One","Zero",752,"MOD1:Coil0752:Read"
752,"xx","CoilBlank0753","One","Zero",753,"MOD1:Coil0753:Read"
753,"xx","CoilBlank0754","One","Zero",754,"MOD1:Coil0754:Read"
754,"xx","CoilBlank0755","One","Zero",755,"MOD1:Coil0755:Read"
755,"xx","CoilBlank0756","One","Zero",756,"MOD1:Coil0756:Read"
756,"xx","CoilBlank0757","One","Zero",757,"MOD1:Coil0757:Read"
757,"xx","CoilBlank0758","One","Zero",758,"MOD1:Coil0758:Read"
758,"xx","CoilBlank0759","One","Zero",759,"MOD1:Coil0759:Read"
759,"xx","CoilBlank0760","One","Zero",760,"MOD1:Coil0760:Read"
760,"xx","CoilBlank0761","One","Zero",761,"MOD1:Coil0761:Read"
761,"xx","CoilBlank0762","One","Zero",762,"MOD1:Coil0762:Read"
762,"xx","CoilBlank0763","One","Zero",763,"MOD1:Coil0763:Read"
763,"xx","CoilBlank0764","One","Zero",764,"MOD1:Coil0764:Read"
764,"xx","CoilBlank0765","One","Zero",765,"MOD1:Coil0765:Read"
765,"xx","CoilBlank0766","One","Zero",766,"MOD1:Coil0766:Read"
766,"xx","CoilBlank0767","One","Zero",767,"MOD1:Coil0767:Read"
767,"xx","CoilBlank0768","One","Zero",768,"MOD1:Coil0768:Read"
768,"xx","CoilBlank0769","One","Zero",769,"MOD1:Coil0769:Read"
769,"xx","CoilBlank0770","One","Zero",770,"MOD1:Coil0770:Read"
770,"xx","CoilBlank0771","One","Zero",771,"MOD1:Coil0771:Read"
771,"xx","CoilBlank0772","One","Zero",772,"MOD1:Coil0772:Read"
772,"xx","CoilBlank0773","One","Zero",773,"MOD1:Coil0773:Read"
773,"xx","CoilBlank0774","One","Zero",774,"MOD1:Coil0774:Read"
774,"xx","CoilBlank0775","One","Zero",775,"MOD1:Coil0775:Read"
775,"xx","CoilBlank0776","One","Zero",776,"MOD1:Coil0776:Read"
776,"xx","CoilBlank0777","One","Zero",777,"MOD1:Coil0777:Read"
777,"xx","CoilBlank0778","One","Zero",778,"MOD1:Coil0778:Read"
778,"xx","CoilBlank0779","One","Zero",779,"MOD1:Coil0779:Read"
779,"xx","CoilBlank0780","One","Zero",780,"MOD1:Coil0780:Read"
780,"xx","CoilBlank0781","One","Zero",781,"MOD1:Coil0781:Read"
781,"xx","CoilBlank0782","One","Zero",782,"MOD1:Coil0782:Read"
782,"xx","CoilBlank0783","One","Zero",783,"MOD1:Coil0783:Read"
783,"xx","CoilBlank0784","One","Zero",784,"MOD1:Coil0784:Read"
784,"xx","CoilBlank0785","One","Zero",785,"MOD1:Coil0785:Read"
785,"xx","CoilBlank0786","One","Zero",786,"MOD1:Coil0786:Read"
786,"xx","CoilBlank0787","One","Zero",787,"MOD1:Coil0787:Read"
787,"xx","CoilBlank0788","One","Zero",788,"MOD1:Coil0788:Read"
788,"xx","CoilBlank0789","One","Zero",789,"MOD1:Coil0789:Read"
789,"xx","CoilBlank0790","One","Zero",790,"MOD1:Coil0790:Read"
790,"xx","CoilBlank0791","One","Zero",791,"MOD1:Coil0791:Read"
791,"xx","CoilBlank0792","One","Zero",792,"MOD1:Coil0792:Read"
792,"xx","CoilBlank0793","One","Zero",793,"MOD1:Coil0793:Read"
793,"xx","CoilBlank0794","One","Zero",794,"MOD1:Coil0794:Read"
794,"xx","CoilBlank0795","One","Zero",795,"MOD1:Coil0795:Read"
795,"xx","CoilBlank0796","One","Zero",796,"MOD1:Coil0796:Read"
796,"xx","CoilBlank0797","One","Zero",797,"MOD1:Coil0797:Read"
797,"xx","CoilBlank0798","One","Zero",798,"MOD1:Coil0798:Read"
798,"xx","CoilBlank0799","One","Zero",799,"MOD1:Coil0799:Read"
799,"xx","CoilBlank0800","One","Zero",800,"MOD1:Coil0800:Read"
800,"Console A Key Turned On ","CYC:ConsoleAKeyOn:Status","On","Not On",801,"MOD1:Coil0801:Read"
801,"Start A Pushbutton One-Shot ","CYC:StartAPBOneShot","One","Zero",802,"MOD1:Coil0802:Read"
802,"Dosim Relay A1 OK Information ","CYC:DosimRelayA1OK:Status","OK","Not OK",803,"MOD1:Coil0803:Read"
803,"Dosim Relay A2 OK Information ","CYC:DosimRelayA2OK:Status","OK","Not OK",804,"MOD1:Coil0804:Read"
804,"DMC Timer A Enabled Info ","CYC:DMCTimerAEnabled:Status","Enabled","Not Enabled",805,"MOD1:Coil0805:Read"
805,"Beam PLG A Closed Information ","CYC:BeamPlgAClosed:Status","Closed","Not Closed",806,"MOD1:Coil0806:Read"
806,"No Proton Beam Interlock Line A ","CYC:NoProtonBeamIntlkLineA:Status","No Interlock","Interlock",807,"MOD1:Coil0807:Read"
807,"Therapy Door A Closed ","CYC:TherapyDoorAClosed:Status","Closed","Not Closed",808,"MOD1:Coil0808:Read"
808,"Therapy Sum Interlock Relay A OK ","CYC:TherapySumIntlkRelayAOK:Status","OK","Not OK",809,"MOD1:Coil0809:Read"
809,"Beampath A No Error ","CYC:BeampathAOK:Status","OK","Not OK",810,"MOD1:Coil0810:Read"
810,"Safety Line A Consistent ","CYC:SafetyLineAConsistent:Status","OK","Not OK",811,"MOD1:Coil0811:Read"
811,"Beam Plug A Inconsistency ","CYC:BeamPlgAInconsistency:Status","Inconsistent","Not Inconsistent",812,"MOD1:Coil0812:Read"
812,"Watchdog A OK ","CYC:WatchdogAOK:Status","OK","Not OK",813,"MOD1:Coil0813:Read"
813,"Beam Off A PB Not Pushed ","CYC:BeamOffAPBNotPushed:Status","Not Pushed","Pushed",814,"MOD1:Coil0814:Read"
814,"Drawer A Inconsistency ","CYC:DrawerAInconsistency:Status","Inconsistent","Not Inconsistent",815,"MOD1:Coil0815:Read"
815,"Glass A Inconsistency ","CYC:GlassAInconsistency:Status","Inconsistent","Not Inconsistent",816,"MOD1:Coil0816:Read"
816,"Console B Key Turned On ","CYC:ConsoleBKeyOn:Status","On","Not On",817,"MOD1:Coil0817:Read"
817,"Start B Pushbutton One-Shot ","CYC:BStartPBOneShot","One","Zero",818,"MOD1:Coil0818:Read"
818,"Dosim Relay B1 OK Information ","CYC:DosimRelayB1OK:Status","OK","Not OK",819,"MOD1:Coil0819:Read"
819,"Dosim Relay B2 OK Information ","CYC:DosimRelayB2OK:Status","OK","Not OK",820,"MOD1:Coil0820:Read"
820,"DMC Timer B Enabled Info ","CYC:DMCTimerBEnabled:Status","Enabled","Not Enabled",821,"MOD1:Coil0821:Read"
821,"Beam PLG B Closed Information ","CYC:BeamPlgBClosed:Status","Closed","Not Closed",822,"MOD1:Coil0822:Read"
822,"No Proton Beam Interlock Line B ","CYC:NoProtonBeamIntlkLineB:Status","No Interlock","Interlock",823,"MOD1:Coil0823:Read"
823,"Therapy Door B Closed ","CYC:TherapyDoorBClosed:Status","Closed","Not Closed",824,"MOD1:Coil0824:Read"
824,"Therapy Sum Interlock Relay B OK ","CYC:TherapySumIntlkRelayBOK:Status","OK","Not OK",825,"MOD1:Coil0825:Read"
825,"Beampath B No Error ","CYC:BeampathBOK:Status","OK","Not OK",826,"MOD1:Coil0826:Read"
826,"Safety Line B Consistent ","CYC:SafetyLineBConsistent:Status","OK","Not OK",827,"MOD1:Coil0827:Read"
827,"Drawer B X-Ray Position ","CYC:DrawerBXray:Status","X-Ray","Not X-Ray",828,"MOD1:Coil0828:Read"
828,"Watchdog B OK ","CYC:WatchdogBOK:Status","OK","Not OK",829,"MOD1:Coil0829:Read"
829,"Beam Off B PB Not Pushed ","CYC:BeamOffBPBNotPushed:Status","Not Pushed","Pushed",830,"MOD1:Coil0830:Read"
830,"xx","CoilBlank0831","One","Zero",831,"MOD1:Coil0831:Read"
831,"xx","CoilBlank0832","One","Zero",832,"MOD1:Coil0832:Read"
832,"Open Drawer And Glass A Command ","CYC:OpenDrawerGlassA:CMD","Open","Not Open",833,"MOD1:Coil0833:Read"
833,"Open Drawer And Glass B Command ","CYC:OpenDrawerGlassB:CMD","Open","Not Open",834,"MOD1:Coil0834:Read"
834,"Watchdog A OK -to MOD 2-","CYC:WatchdogAOKMod2:Status","OK","Not OK",835,"MOD1:Coil0835:Read"
835,"xx","CoilBlank0836","One","Zero",836,"MOD1:Coil0836:Read"
836,"xx","CoilBlank0837","One","Zero",837,"MOD1:Coil0837:Read"
837,"xx","CoilBlank0838","One","Zero",838,"MOD1:Coil0838:Read"
838,"xx","CoilBlank0839","One","Zero",839,"MOD1:Coil0839:Read"
839,"xx","CoilBlank0840","One","Zero",840,"MOD1:Coil0840:Read"
840,"xx","CoilBlank0841","One","Zero",841,"MOD1:Coil0841:Read"
841,"xx","CoilBlank0842","One","Zero",842,"MOD1:Coil0842:Read"
842,"xx","CoilBlank0843","One","Zero",843,"MOD1:Coil0843:Read"
843,"xx","CoilBlank0844","One","Zero",844,"MOD1:Coil0844:Read"
844,"xx","CoilBlank0845","One","Zero",845,"MOD1:Coil0845:Read"
845,"xx","CoilBlank0846","One","Zero",846,"MOD1:Coil0846:Read"
846,"xx","CoilBlank0847","One","Zero",847,"MOD1:Coil0847:Read"
847,"xx","CoilBlank0848","One","Zero",848,"MOD1:Coil0848:Read"
848,"xx","CoilBlank0849","One","Zero",849,"MOD1:Coil0849:Read"
849,"Beam Off A PB One-shot","CYC:BeamoffAPBOneShot:Status","One","Zero",850,"MOD1:Coil0850:Read"
